Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"The J. M. Smucker Co.","SJM","12720.53","119.26","1554724",".79","2.56","20.16","80.74","11.44","3.72","10.8","126.35","89.53","211","Consumer Staples","Food - Miscellaneous","-1.53","3"
"The Kroger Co.","KR","35374.25","57.74","7648820","1.53","-.82","-12.04","11.01","-15.54",".35","2.14","75.6","55.53","229","Retail-Wholesale","Retail - Supermarkets",".71","3"
"The Macerich Company","MAC","7327.17","25.84","2223869",".04","1.49","18.15","93.54","27.94","10.43","-17.75","26.51","16.14","67","Finance","REIT and Equity Trust - Retail","-18.22","3"
"The Middleby","MIDD","6039.75","133.58","577170","-.22","-23.72","-18.88","32.44","-17.88","-17.39","12.73","179.2","111.68","54","Industrial Products","Manufacturing - General Industrial ","-11.46","2"
"The Mosaic Company","MOS","7023.22","22.12","7296293","-.81","4.69","-.32","14.02","-16.08","8.36","4.66","36.23","19.82","173","Basic Materials","Fertilizers",".36","4"
"The New York Times Company","NYT","12121.9","74.89","1489294","4.52","1.41","-5.69","68.14","-1.4","9.24","15.1","85.86","51.43","92","Consumer Staples","Publishing - Newspapers","13.18","3"
"The PNC Financial Services Group","PNC","100338.95","249.87","2013482","-.45",".15","15.23","93.06","9.41","-1.29","30.7","255.2","178.37","20","Finance","Financial - Investment Bank","21.41","3"
"The Progressive","PGR","123540.41","211.42","3051719","-1.13","-8.96","8.98","33.75","-15.14","16.32","12.08","252.68","190.4","149","Finance","Insurance - Property and Casualty","12.84","3"
"The RealReal","REAL","1456.7","12.09","2692086","8.63","4.4","17.84","58.75","-29.97","15.38","-8.2","16.9","5.24","201","Consumer Discretionary","Consumer Products - Discretionary","-9.03","3"
"The Southern Company","SO","108755.32","94.54","4639959","-2.79","-3.51","2.98","66.88","-.91","10.59","17.08","99.72","84.08","159","Utilities","Utility - Electric Power","15.43","3"
"The TJX Companies","TJX","173814.17","157.34","4910620","2.02","2","2.6","74.77","-6.38","7.12","9.13","168.41","124.53","30","Retail-Wholesale","Retail - Discount Stores","9.4","2"
"The Timken Company","TKR","9558.97","137.55","772999","-2.65","-1.16","16.6","89.57","49.43",".19","8.41","145.32","70.79","45","Computer and Technology","Electronics - Miscellaneous Products","6.6","3"
"The Toronto Dominion Bank","TD","197246.31","119.92","3166804",".12",".52","11.6","90.66","16.35","-1.06","25.57","124.8","72.55","90","Finance","Banks - Foreign","13.2","4"
"The Trade Desk","TTD","8480.75","18.04","13632011","4.34","-5.55","-21.84","1.71","-56.56","18.47","28.37","89.76","16.79","188","Computer and Technology","Internet - Services","14.57","3"
"The Travelers Companies","TRV","78082.14","374.36","2130326","-3.33","9.36","25.61","83.54","17.96","5.18","16.85","397.22","258.32","149","Finance","Insurance - Property and Casualty","16.95","1"
"The Williams Companies","WMB","87390.63","71.54","6435886","-3.32","-2.19","-.58","65.66","8.78","13.78","22.93","79.4","56.51","183","Oils-Energy","Oil and Gas - Production and Pipelines","23.39","3"
"Theravance Biopharma","TBPH","869.18","16.86","598668","0","-.41","-.88","60.57","-17.64","66.92","1.65","20.74","10.9","138","Medical","Medical - Drugs","104.34","3"
"Thermo Fisher Scientific","TMO","213422.2","574.3","2236563","1.06","9.72","23.5","67.61","-9.41","3.91","19.28","639.45","438.34","153","Medical","Medical - Instruments","15.04","3"
"Thomson Reuters","TRI","42746.95","98.13","2228115","8.85","10","5.58","16.54","-33.04","3","23.53","207.01","76.55","210","Business Services","Business - Services","19.93","2"
"ThredUp","TDUP","745.86","5.78","1416233","1.4","-17.78","19.92","29.77","-17.33","19.53","-4.49","12.08","3.11","188","Consumer Staples","Consumer Products - Staples","-6.68","3"
"Tidewater","TDW","3732.78","75.06","628530","-4.43","10.19","-7.52","63.36","35.82",".52","8.17","91.12","47.29","188","Oils-Energy","Oil and Gas - Integrated - United States","22.16","3"
"Toast","TOST","16651.32","32.27","9782854","11.12","11.97","28.82","36.86","-16.94","24.05","9.69","49.3","22.33","138","Computer and Technology","Internet - Software","6.39","3"
